Unnamed: 0,State,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,Income,GenderPop
0,Maryland,5930538,0.084724982,0.526790497,0.306777538,0.002030958,0.05325414,0.000362851,$78765.40072463769,2872643M_F
1,Massachusetts,6705586,0.114610656,0.730410519,0.068331284,0.001282787,0.058356557,0.000198087,$72838.93672627235,3249650M_3455936F
2,Michigan,9900571,0.046349927,0.723817224,0.176331032,0.004844113,0.024231105,0.000195494,$51201.83003663004,4861973M_5038598F
3,Minnesota,5419171,0.051529235,0.814270615,0.056598201,0.010690405,0.04156072,0.000329085,$62820.833959429,2692166M_2727005F
4,Mississippi,2988081,0.028424012,0.532863222,0.414919453,0.003899696,0.008764438,0.000150456,$38909.91920731707,1451723M_1536358F
5,Missouri,6045448,0.040372478,0.775080692,0.141221182,0.003633285,0.016244957,0.001016571,$49763.98772563177,2964003M_3081445F
