Unnamed: 0,State,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,Income,GenderPop
0,Georgia,10006693,0.084182422,0.542863056,0.320882984,0.00187583,0.030976495,0.000466019,$50811.08205128205,4883331M_5123362F
1,Hawaii,1406299,0.091867089,0.250322785,0.020528481,0.001449367,0.365920886,0.087588608,$73264.42628205128,709871M_696428F
2,Idaho,1616547,0.115053691,0.831362416,0.005667785,0.014681208,0.01135906,0.001271812,$48017.31543624161,810464M_806083F
3,Illinois,12873761,0.156017335,0.608598074,0.171084109,0.00118427,0.044753772,0.000200321,$59587.04887459807,6316899M_6556862F
4,Indiana,6568645,0.065367442,0.784318937,0.111869767,0.001940864,0.015782724,0.000326246,$48616.22784810127,3235263M_3333382F
5,Iowa,3093526,0.053036452,0.877196841,0.032569866,0.002897934,0.016993925,0.00055164,$53017.75304136253,1534595M_1558931F
